#,Company.ID,event,time,Theme,Account.Users,Metric.Count,Graph.Origin,Number.of.Graphs.on.Dashboard,Graphs.Owned
1,b8610d38ddca3692d34a55594e0b4df5,View Dashboard,8/1/2018 0:00,Dark,1,NA,,NA,47
2,6c5941a5643cbcc803d42298adec6661,View Dashboard,8/1/2018 0:00,Light,41,NA,,NA,0
3,b8610d38ddca3692d34a55594e0b4df5,Graph Editor,8/1/2018 0:00,,1,NA,Custom,NA,47
4,51b809b091fc0f51dc7aca9ddc486bfe,Graph Saved in Editor,8/1/2018 0:00,,1,NA,Custom,NA,15
5,51b809b091fc0f51dc7aca9ddc486bfe,View Dashboard,8/1/2018 0:00,Light,1,NA,,NA,8
6,b8610d38ddca3692d34a55594e0b4df5,Create Data Source,8/1/2018 0:00,,1,NA,,NA,47
7,b8610d38ddca3692d34a55594e0b4df5,Connector Search,8/1/2018 0:00,,1,NA,,NA,47
8,b8610d38ddca3692d34a55594e0b4df5,Data Source Connector,8/1/2018 0:00,,1,NA,,NA,47
9,b8610d38ddca3692d34a55594e0b4df5,DS Template Selected,8/1/2018 0:00,,1,NA,,NA,47
10,b8610d38ddca3692d34a55594e0b4df5,Data Source Created,8/1/2018 0:00,,1,NA,,NA,50
11,f9375b795735486891aae3367d0adc7b,View Dashboard,8/1/2018 0:00,Light,11,NA,,NA,0
12,f9375b795735486891aae3367d0adc7b,Tab Switched,8/1/2018 0:00,,11,NA,,NA,0
13,0350cd2785e3e1565e068c557ebb8f1a,Orientation Switch,8/1/2018 0:00,,17,NA,,NA,0
14,197c731783a51319754597fea6c43112,Orientation Switch,8/1/2018 0:01,,112,NA,,NA,0
15,51b809b091fc0f51dc7aca9ddc486bfe,Edit Graph from Dashboard,8/1/2018 0:01,,1,NA,Custom,NA,8
16,3cdc5e38a59a03a8e1b03abfb748b59a,Trial Sign Up Completed,8/1/2018 0:01,,1,NA,,NA,8
17,51b809b091fc0f51dc7aca9ddc486bfe,Graph Editor,8/1/2018 0:01,,1,NA,Custom,NA,8
